docId,horseId,name,trainer,number,jockey,odds,competitionId,race
barton_snow,barton_snow,Barton Snow,J J O'Shea,1,Mr H Crow,14/1,cheltenham_2026,16:40 Friday
carnfunnock,carnfunnock,Carnfunnock,S R B Crawford,2,Mr Stephen Connor,25/1,cheltenham_2026,16:40 Friday
chemical_energy,chemical_energy,Chemical Energy,G Elliott,3,Mr B O'Neill,14/1,cheltenham_2026,16:40 Friday
con's_roc,con's_roc,Con's Roc,T O'Brien,4,Mr Darragh Allen,7/1,cheltenham_2026,16:40 Friday
golden_son,golden_son,Golden Son,P F Nicholls,5,Olive Nicholls,14/1,cheltenham_2026,16:40 Friday
gracchus_de_balme,gracchus_de_balme,Gracchus De Balme,J J O'Shea,6,P A King,20/1,cheltenham_2026,16:40 Friday
its_on_the_line,its_on_the_line,Its On The Line,E Mullins,7,D O'Connor,11/2,cheltenham_2026,16:40 Friday
king_alex,king_alex,King Alex,G Ahern,8,J Ahern,25/1,cheltenham_2026,16:40 Friday
kings_jet,kings_jet,Kings Jet,C W J Farrell,9,T A Halford,25/1,cheltenham_2026,16:40 Friday
lift_me_up,lift_me_up,Lift Me Up,Miss M Filby,10,Heidi Palin,50/1,cheltenham_2026,16:40 Friday
linelee_king,linelee_king,Linelee King,O Murphy,11,James King,33/1,cheltenham_2026,16:40 Friday
music_drive,music_drive,Music Drive,Miss K Morgan,12,Ellie Callwood,14/1,cheltenham_2026,16:40 Friday
panda_boy,panda_boy,Panda Boy,M Brassil,13,J L Gleeson,7/1,cheltenham_2026,16:40 Friday
paul_marvel,paul_marvel,Paul Marvel,J J O'Shea,14,Amber Jackson-Fennell,50/1,cheltenham_2026,16:40 Friday
pyleigh_court,pyleigh_court,Pyleigh Court,R C Pudd,15,Ella Herbison,50/1,cheltenham_2026,16:40 Friday
shearer,shearer,Shearer,P F Nicholls,16,Gina Andrews,16/1,cheltenham_2026,16:40 Friday
solitary_man,solitary_man,Solitary Man,E Bolger,17,A B O'Connor,33/1,cheltenham_2026,16:40 Friday
stattler,stattler,Stattler,Faye Bramley,18,Mr P W Mullins,12/1,cheltenham_2026,16:40 Friday
take_all,take_all,Take All,Myles Osborne,19,Samuel Scott,50/1,cheltenham_2026,16:40 Friday
what_a_glance,what_a_glance,What A Glance,Tom Britten,20,Clara Brewitt,50/1,cheltenham_2026,16:40 Friday
willewonga,willewonga,Willewonga,J J O'Shea,21,Thomas Easterby,50/1,cheltenham_2026,16:40 Friday
willitgoahead,willitgoahead,Willitgoahead,G Elliott,22,H C Swan,16/1,cheltenham_2026,16:40 Friday
wonderwall,wonderwall,Wonderwall,S Curling,23,R James,9/2,cheltenham_2026,16:40 Friday
wrappedupinmay,wrappedupinmay,Wrappedupinmay,S Curling,24,D Doyle,8/1,cheltenham_2026,16:40 Friday
envoi_allen,envoi_allen,Envoi Allen,H De Bromhead,1,Darragh O'Keeffe,25/1,cheltenham_2026,16:00 Friday
firefox,firefox,Firefox,G Elliott,2,Jack Kennedy,25/1,cheltenham_2026,16:00 Friday
gaelic_warrior,gaelic_warrior,Gaelic Warrior,W P Mullins,3,Paul Townend,3/1,cheltenham_2026,16:00 Friday
gold_tweet,gold_tweet,Gold Tweet,Gab Leenders,4,C Lefebvre,100/1,cheltenham_2026,16:00 Friday
grey_dawning,grey_dawning,Grey Dawning,Dan Skelton,5,Harry Skelton,12/1,cheltenham_2026,16:00 Friday
haiti_couleurs,haiti_couleurs,Haiti Couleurs,Miss R Curtis,6,Sean Bowen,6/1,cheltenham_2026,16:00 Friday
inothewayurthinkin,inothewayurthinkin,Inothewayurthinkin,G P Cromwell,7,Mark Walsh,7/1,cheltenham_2026,16:00 Friday
jango_baie,jango_baie,Jango Baie,N J Henderson,8,Nico de Boinville,7/2,cheltenham_2026,16:00 Friday
l'homme_presse,l'homme_presse,L'homme Presse,Miss V Williams,9,Charlie Deutsch,33/1,cheltenham_2026,16:00 Friday
spillane's_tower,spillane's_tower,Spillane's Tower,J J Mangan,10,Harry Cobden,10/1,cheltenham_2026,16:00 Friday
the_jukebox_man,the_jukebox_man,The Jukebox Man,B Pauling,11,Ben Jones,4/1,cheltenham_2026,16:00 Friday
doctor_du_mesnil,doctor_du_mesnil,Doctor Du Mesnil,W P Mullins,1,Danny Mullins,20/1,cheltenham_2026,15:20 Friday
doctor_steinberg,doctor_steinberg,Doctor Steinberg,W P Mullins,2,Paul Townend,3/1,cheltenham_2026,15:20 Friday
espresso_milan,espresso_milan,Espresso Milan,W P Mullins,3,Mr P W Mullins,12/1,cheltenham_2026,15:20 Friday
fruit_de_mer,fruit_de_mer,Fruit De Mer,H De Bromhead,4,Sean Flanagan,25/1,cheltenham_2026,15:20 Friday
hipop_de_loire,hipop_de_loire,Hipop De Loire,W P Mullins,5,Harry Cobden,25/1,cheltenham_2026,15:20 Friday
jalon_d'oudairies,jalon_d'oudairies,Jalon D'oudairies,G Elliott,6,Danny Gilligan,16/1,cheltenham_2026,15:20 Friday
johnny's_jury,johnny's_jury,Johnny's Jury,Jamie Snowden,7,G Sheehan,33/1,cheltenham_2026,15:20 Friday
kazansky,kazansky,Kazansky,G Elliott,8,Jordan Gainford,14/1,cheltenham_2026,15:20 Friday
