docId,horseId,name,trainer,number,jockey,odds,competitionId,race
jeriko_du_reponet,jeriko_du_reponet,Jeriko Du Reponet,N J Henderson,1,D O'Connor,4/1,cheltenham_2026,17:20 Thursday
monbeg_genius,monbeg_genius,Monbeg Genius,Jonjo & A J O'Neill,2,J L Scallan,25/1,cheltenham_2026,17:20 Thursday
the_enabler,the_enabler,The Enabler,G Elliott,3,R James,20/1,cheltenham_2026,17:20 Thursday
il_ridoto,il_ridoto,Il Ridoto,P F Nicholls,6,O Nicholls,20/1,cheltenham_2026,17:20 Thursday
insurrection,insurrection,Insurrection,P F Nicholls,4,Gina Andrews,33/1,cheltenham_2026,17:20 Thursday
sandor_clegane,sandor_clegane,Sandor Clegane,P Nolan,5,J W Hendrick,20/1,cheltenham_2026,17:20 Thursday
herakles_westwood,herakles_westwood,Herakles Westwood,W Greatrex,8,F Maguire,10/1,cheltenham_2026,17:20 Thursday
king's_threshold,king's_threshold,King's Threshold,Miss E C Lavelle,9,H C Swan,20/1,cheltenham_2026,17:20 Thursday
prends_garde_a_toi,prends_garde_a_toi,Prends Garde A Toi,G Elliott,7,B O'Neill,14/1,cheltenham_2026,17:20 Thursday
uncle_bert,uncle_bert,Uncle Bert,Nigel & Willy Twiston-Davies,12,Amber Jackson-Fennell,33/1,cheltenham_2026,17:20 Thursday
waterford_whispers,waterford_whispers,Waterford Whispers,H De Bromhead,11,Alan O'Sullivan,9/2,cheltenham_2026,17:20 Thursday
weveallbeencaught,weveallbeencaught,Weveallbeencaught,E McNamara,10,J C Barry,20/1,cheltenham_2026,17:20 Thursday
daily_present,daily_present,Daily Present,P Nolan,13,B T Stone,16/1,cheltenham_2026,17:20 Thursday
olympic_man,olympic_man,Olympic Man,J C McConnell,14,D Doyle,50/1,cheltenham_2026,17:20 Thursday
excello,excello,Excello,N J Henderson,15,Henry Main,25/1,cheltenham_2026,17:20 Thursday
cave_court,cave_court,Cave Court,N C Kelly,18,O McGill,50/1,cheltenham_2026,17:20 Thursday
glengouly,glengouly,Glengouly,Faye Bramley,16,D McGill,33/1,cheltenham_2026,17:20 Thursday
kim_roque,kim_roque,Kim Roque,J P O'Brien,19,J L Gleeson,8/1,cheltenham_2026,17:20 Thursday
road_to_home,road_to_home,Road To Home,W P Mullins,17,P W Mullins,14/1,cheltenham_2026,17:20 Thursday
gericault_roque,gericault_roque,Gericault Roque,D Pipe,20,B Lawless,25/1,cheltenham_2026,17:20 Thursday
no_time_to_wait,no_time_to_wait,No Time To Wait,J C McConnell,21,J M Halford,50/1,cheltenham_2026,17:20 Thursday
ask_brewster,ask_brewster,Ask Brewster,Evan Williams,22,S Cotter,20/1,cheltenham_2026,17:20 Thursday
hung_jury,hung_jury,Hung Jury,M Keighley,23,James King,50/1,cheltenham_2026,17:20 Thursday
lord_accord,lord_accord,Lord Accord,N P Mulholland,24,Mr N McParlan,33/1,cheltenham_2026,17:20 Thursday
staffordshire_knot,staffordshire_knot,Staffordshire Knot,G Elliott,1,Jack Kennedy,14/1,cheltenham_2026,16:40 Thursday
gowel_road,gowel_road,Gowel Road,Nigel & Willy Twiston-Davies,2,Toby McCain-Mitchell,20/1,cheltenham_2026,16:40 Thursday
ace_of_spades,ace_of_spades,Ace Of Spades,Dan Skelton,4,Kielan Woods,12/1,cheltenham_2026,16:40 Thursday
electric_mason,electric_mason,Electric Mason,C Gordon,3,Freddie Gordon,10/1,cheltenham_2026,16:40 Thursday
minella_sixo,minella_sixo,Minella Sixo,G Elliott,5,Sam Ewing,20/1,cheltenham_2026,16:40 Thursday
absolutely_doyen,absolutely_doyen,Absolutely Doyen,P F Nicholls,8,Harry Cobden,14/1,cheltenham_2026,16:40 Thursday
kikijo,kikijo,Kikijo,P Hobbs & J White,6,Callum Pritchard,14/1,cheltenham_2026,16:40 Thursday
supremely_west,supremely_west,Supremely West,Dan Skelton,7,Harry Skelton,4/1,cheltenham_2026,16:40 Thursday
classic_king,classic_king,Classic King,Miss E C Lavelle,10,Ben Jones,25/1,cheltenham_2026,16:40 Thursday
red_dirt_road,red_dirt_road,Red Dirt Road,Jonjo & A J O'Neill,9,Jonjo O'Neill Jr,33/1,cheltenham_2026,16:40 Thursday
duke_silver,duke_silver,Duke Silver,J P O'Brien,13,Hugh Horgan,25/1,cheltenham_2026,16:40 Thursday
ikarak,ikarak,Ikarak,O Murphy,12,Sean Bowen,33/1,cheltenham_2026,16:40 Thursday
