docId,horseId,name,trainer,number,jockey,odds,competitionId,race
wade_out,wade_out,Wade Out,O Murphy,0,Sean Bowen,TBC,cheltenham_2026,17:20 Tuesday
the_jukebox_kid,the_jukebox_kid,The Jukebox Kid,B Pauling,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
pic_roc,pic_roc,Pic Roc,B Pauling,0,Ben Jones,TBC,cheltenham_2026,17:20 Tuesday
the_enabler,the_enabler,The Enabler,G Elliott,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
king_of_answers,king_of_answers,King Of Answers,L Russell & M Scudamore,0,Derek Fox,TBC,cheltenham_2026,17:20 Tuesday
one_big_bang,one_big_bang,One Big Bang,James Owen,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
kurasso_blue,kurasso_blue,Kurasso Blue,G Elliott,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
brave_fortune,brave_fortune,Brave Fortune,J P O'Brien,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
will_do,will_do,Will Do,G Elliott,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
guard_the_moon,guard_the_moon,Guard The Moon,Nigel & Willy Twiston-Davies,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
grand_geste,grand_geste,Grand Geste,J Parkinson & S Smith,0,Danny McMenamin,TBC,cheltenham_2026,17:20 Tuesday
backmersackme,backmersackme,Backmersackme,E Mullins,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
holloway_queen,holloway_queen,Holloway Queen,N J Henderson,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
iceberg_theory,iceberg_theory,Iceberg Theory,P Nolan,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
newton_tornado,newton_tornado,Newton Tornado,Miss R Curtis,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
first_confession,first_confession,First Confession,J Tizzard,0,Brendan Powell,TBC,cheltenham_2026,17:20 Tuesday
union_station,union_station,Union Station,G P Cromwell,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
gericault_roque,gericault_roque,Gericault Roque,D Pipe,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
hung_jury,hung_jury,Hung Jury,M Keighley,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
walking_on_air,walking_on_air,Walking On Air,Faye Bramley,0,Harry Cobden,TBC,cheltenham_2026,17:20 Tuesday
silver_thorn,silver_thorn,Silver Thorn,Miss E C Lavelle,0,J J Burke,TBC,cheltenham_2026,17:20 Tuesday
holokea,holokea,Holokea,Mickey Bowen,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
maxi_mac_gold,maxi_mac_gold,Maxi Mac Gold,P Nolan,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
neo_king,neo_king,Neo King,Evan Williams,0,TBC,TBC,cheltenham_2026,17:20 Tuesday
dee_capo,dee_capo,Dee Capo,G Elliott,0,TBC,TBC,cheltenham_2026,16:40 Tuesday
master_chewy,master_chewy,Master Chewy,Nigel & Willy Twiston-Davies,0,TBC,TBC,cheltenham_2026,16:40 Tuesday
down_memory_lane,down_memory_lane,Down Memory Lane,G Elliott,0,TBC,TBC,cheltenham_2026,16:40 Tuesday
croke_park,croke_park,Croke Park,G Elliott,0,TBC,TBC,cheltenham_2026,16:40 Tuesday
no_questions_asked,no_questions_asked,No Questions Asked,B Pauling,0,TBC,TBC,cheltenham_2026,16:40 Tuesday
jungle_boogie,jungle_boogie,Jungle Boogie,Miss V Williams,0,Charlie Deutsch,TBC,cheltenham_2026,16:40 Tuesday
boombawn,boombawn,Boombawn,Dan Skelton,0,Tristan Durrell,TBC,cheltenham_2026,16:40 Tuesday
blaze_the_way,blaze_the_way,Blaze The Way,Ms M Mullins,0,TBC,TBC,cheltenham_2026,16:40 Tuesday
downmexicoway,downmexicoway,Downmexicoway,H De Bromhead,0,TBC,TBC,cheltenham_2026,16:40 Tuesday
king_of_kingsfield,king_of_kingsfield,King Of Kingsfield,G Elliott,0,TBC,TBC,cheltenham_2026,16:40 Tuesday
the_doyen_chief,the_doyen_chief,The Doyen Chief,A King,0,TBC,TBC,cheltenham_2026,16:40 Tuesday
