docId,horseId,name,trainer,number,jockey,odds,competitionId,race
jeriko_du_reponet,jeriko_du_reponet,Jeriko Du Reponet,N J Henderson,1,A Smith,3/1,pre_cheltenham_test,17:20 Wednesday
search_for_glory,search_for_glory,Search For Glory,G Elliott,2,B Smith,5/1,pre_cheltenham_test,17:20 Wednesday
stolen_silver,stolen_silver,Stolen Silver,G Nicholls,3,C Smith,11/2,pre_cheltenham_test,17:20 Wednesday
henry's_friend,henry's_friend,Henry's Friend,B Pauling,4,A Smith,8/1,pre_cheltenham_test,17:20 Wednesday
hyland,hyland,Hyland,N J Henderson,5,B Smith,8/1,pre_cheltenham_test,17:20 Wednesday
american_mike,american_mike,American Mike,O Murphy,6,C Smith,10/1,pre_cheltenham_test,17:20 Wednesday
chemical_energy,chemical_energy,Chemical Energy,G Elliott,7,A Smith,16/1,pre_cheltenham_test,17:20 Wednesday
monbeg_genius,monbeg_genius,Monbeg Genius,Jonjo & A J O'Neill,8,B Smith,20/1,pre_cheltenham_test,17:20 Wednesday
booster_bob,booster_bob,Booster Bob,O Murphy,9,C Smith,33/1,pre_cheltenham_test,17:20 Wednesday
deep_cave,deep_cave,Deep Cave,Christian Williams,10,A Smith,100/1,pre_cheltenham_test,17:20 Wednesday
bossofthebrownies,bossofthebrownies,Bossofthebrownies,M F Morris,1,A Smith,3/1,pre_cheltenham_test,17:20 Tuesday
wade_out,wade_out,Wade Out,O Murphy,2,B Smith,5/1,pre_cheltenham_test,17:20 Tuesday
the_jukebox_kid,the_jukebox_kid,The Jukebox Kid,B Pauling,3,C Smith,11/2,pre_cheltenham_test,17:20 Tuesday
pic_roc,pic_roc,Pic Roc,B Pauling,4,A Smith,8/1,pre_cheltenham_test,17:20 Tuesday
king_of_answers,king_of_answers,King Of Answers,L Russell & M Scudamore,5,B Smith,8/1,pre_cheltenham_test,17:20 Tuesday
mister_coffey,mister_coffey,Mister Coffey,N J Henderson,6,C Smith,10/1,pre_cheltenham_test,17:20 Tuesday
