docId,competitionId,date,lockAt,meeting,name,placesPaid,eachWayFraction,offTime,order,raceId,runners,updatedAt
2026-02-28_chelt_13:20,pre_cheltenham_test,28/02/2026,2026-02-28T13:19:00Z,chelt,Day 1 Handicap Race 1,3,0.2,2026-02-28T13:20:00Z,1,2026-02-28_chelt_13:20,"[""act_of_innocence"",""ambiente_friendly"",""ballyfad"",""baron_noir"",""blake"",""blues_singer"",""bud_fox"",""caballero_cliff"",""davy_crockett"",""double_measure""]",2026-02-27T09:00:00Z
2026-02-28_chelt_14:00,pre_cheltenham_test,28/02/2026,2026-02-28T13:19:00Z,chelt,Day 1 Handicap Race 2,4,0.2,2026-02-28T14:00:00Z,2,2026-02-28_chelt_14:00,"[""be_aware"",""break_my_soul"",""diva_luna"",""downmexicoway"",""hansard"",""irish_panther"",""jax_junior"",""july_flower"",""kala_conti"",""kappa_jy_pyke""]",2026-02-27T09:00:00Z
2026-02-28_chelt_14:40,pre_cheltenham_test,28/02/2026,2026-02-28T13:19:00Z,chelt,Day 1 Handicap Race 3,3,0.2,2026-02-28T14:20:00Z,3,2026-02-28_chelt_14:40,"[""adrienne"",""ammes"",""bandjo"",""barbizon"",""ben_hur"",""berto_ramirez"",""bertutea"",""bibe_mus"",""cinammon_coco"",""combs""]",2026-02-27T09:00:00Z
2026-02-28_chelt_15:20,pre_cheltenham_test,28/02/2026,2026-02-28T13:19:00Z,chelt,Day 1 Handicap Race 4,3,0.2,2026-02-28T15:20:00Z,4,2026-02-28_chelt_15:20,"[""alcedo"",""american_mike"",""ask_brewster"",""backmersackme"",""blaze_the_way"",""blow_your_wad"",""booster_bob"",""brave_fortune"",""croke_park"",""deep_cave""]",2026-02-27T09:00:00Z
2026-02-28_chelt_16:00,pre_cheltenham_test,28/02/2026,2026-02-28T13:19:00Z,chelt,Day 1 Handicap Race 5,4,0.2,2026-02-28T16:00:00Z,5,2026-02-28_chelt_16:00,"[""alexei"",""anzadam"",""ballyburn"",""brighterdaysahead"",""casheldale_lad"",""constitution_hill"",""el_fabiolo"",""golden_ace"",""lossiemouth"",""lucky_place""]",2026-02-27T09:00:00Z
2026-02-28_chelt_16:40,pre_cheltenham_test,28/02/2026,2026-02-28T13:19:00Z,chelt,Day 1 Handicap Race 6,3,0.2,2026-02-28T16:40:00Z,6,2026-02-28_chelt_16:40,"[""handstands"",""dee_capo"",""master_chewy"",""jacob's_ladder"",""down_memory_lane"",""jagwar"",""libberty_hunter"",""croke_park"",""no_questions_asked"",""sa_fureur""]",2026-02-27T09:00:00Z
2026-02-28_chelt_17:20,pre_cheltenham_test,28/02/2026,2026-02-28T13:19:00Z,chelt,Day 1 Handicap Race 7,4,0.2,2026-02-28T17:20:00Z,7,2026-02-28_chelt_17:20,"[""bossofthebrownies"",""wade_out"",""the_jukebox_kid"",""pic_roc"",""king_of_answers"",""mister_coffey"",""the_enabler"",""one_big_bang"",""brave_fortune"",""kurasso_blue""]",2026-02-27T09:00:00Z
2026-03-01_chelt_13:20,pre_cheltenham_test,01/03/2026,2026-03-01T13:19:00Z,chelt,Day 2 Handicap Race 1,3,0.2,2026-03-01T13:20:00Z,1,2026-03-01_chelt_13:20,"[""a_pai_de_nom"",""act_of_innocence"",""ballyfad"",""ballykinlar"",""baron_noir"",""bobby's_nelson"",""bon_viveur"",""bossman_jack"",""caballero_cliff"",""came_from_nowhere""]",2026-02-27T09:00:00Z
2026-03-01_chelt_14:00,pre_cheltenham_test,01/03/2026,2026-03-01T13:19:00Z,chelt,Day 2 Handicap Race 2,4,0.2,2026-03-01T14:00:00Z,2,2026-03-01_chelt_14:00,"[""argento_boy"",""ballygunner_castle"",""bossofthebrownies"",""califet_en_vol"",""doyen_quest"",""final_demand"",""funiculi_funicula"",""gold_dancer"",""harsh"",""jade_de_grugy""]",2026-02-27T09:00:00Z
2026-03-01_chelt_14:40,pre_cheltenham_test,01/03/2026,2026-03-01T13:19:00Z,chelt,Day 2 Handicap Race 3,3,0.2,2026-03-01T14:20:00Z,3,2026-03-01_chelt_14:40,"[""baby_kate"",""brighterdaysahead"",""dream_on_baby"",""feet_of_a_dancer"",""golden_ace"",""jade_de_grugy"",""jetara"",""kargese"",""kateira"",""la_pinsonniere""]",2026-02-27T09:00:00Z
2026-03-01_chelt_15:20,pre_cheltenham_test,01/03/2026,2026-03-01T13:19:00Z,chelt,Day 2 Handicap Race 4,3,0.2,2026-03-01T15:20:00Z,4,2026-03-01_chelt_15:20,"[""ballyburn"",""bob_olinger"",""buddy_one"",""doddiethegreat"",""flooring_porter"",""french_ship"",""gowel_road"",""gwennie_may_boy"",""hewick"",""home_by_the_lee""]",2026-02-27T09:00:00Z
2026-03-01_chelt_16:00,pre_cheltenham_test,01/03/2026,2026-03-01T13:19:00Z,chelt,Day 2 Handicap Race 5,4,0.2,2026-03-01T16:00:00Z,5,2026-03-01_chelt_16:00,"[""brookie"",""calico"",""captain_guinness"",""energumene"",""found_a_fifty"",""gidleigh_park"",""il_etait_temps"",""inthepocket"",""irish_panther"",""jonbon""]",2026-02-27T09:00:00Z
