,,,, Club ,Daily,, 2nd , 1st 
TOTAL,60,£600.00,£600.00, £250.00 ,£120.00,4.00, £50.00 , £180.00 
,70,£700.00,£700.00, £310.00 ,£140.00,4.00, £50.00 , £200.00 
,75,£750.00,£750.00, £310.00 ,£160.00,, £50.00 , £230.00 
,80,£800.00,£800.00, £350.00 ,£160.00,4.00, £50.00 , £240.00 
,90,£900.00,£900.00, £400.00 ,£200.00,4.00, £50.00 , £250.00 
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
,,,,,,4.00,,
